Area,Price
2171,1160000
1024,685000
2042,1350000
1146,1305000
995,1350000
2976,9500000
1400,1565000
1550,1127000
1350,1525000
1534,975000
995,660000
1605,800000
2450,2150000
1250,875000
1275,1038000
1660,1460000
1740,1500000
1105,1250000
793,710000
566,765000
469,830000
755,810000
2451,1108000
1850,1820000
1570,1700000
1400,1225000
1130,1560000
800,280000
1150,1008000
724,720000
994,950000
616,730000
886,211000
1360,1005000
1238,1125000
1344,835000
1210,845000
1642,1200000
2040,3750000
2214,2830000
863,1150000
637,675000
1225,1210000
1288,1500000
1983,1900000
4500,1825000
1498,1195000
1125,1180000
1373,1325000
1595,1275000
1531,1350000
1530,1350000
1325,1200000
1243,1700000
1458,2535000
759,728000
1075,805000
1220,875000
2250,1500000
1864,1905000
903,870000
2000,1550000
1299,1225000
7291,1950000
3650,7500000
1175,825000
2062,1005000
1445,750000
3300,1000000
1444,1398000
1257,1350000
970,1080000
1214,1350000
2360,1650000
2239,2508000
934,600000
830,590000
969,635000
1063,730000
778,842500
2081,2128000
2300,2100000
1209,1400500
1875,980000
1214,990000
1214,1150000
590,705000
768,1450000
804,399000
605,799000
755,1325000
1092,1230000
832,900000
934,977000
1405,1166000
1250,535500
1250,795000
1600,1510000
712,899000
598,575000
562,578000
1903,2825000
1555,1020000
931,925000
1353,1200000
572,710000
671,710000
2460,2700000
1606,1900000
1125,1150000
2000,1400000
770,830000
1714,980000
1854,1075000
2592,1850000
1400,940000
2024,3295000
1000,761000
940,1270000
995,1500000
6166,9998000
862,658000
1476,755000
1091,800000
1500,930000
677,585000
1679,2745000
1190,1350000
1125,1420000
790,840000
1153,1115000
1149,1200000
2150,1300000
722,770000
962,839500
1373,1400000
1640,1500000
1004,1850000
1734,1450000
686,628000
1604,1495000
830,725000
2010,1700000
2377,1150000
1006,1295000
1251,1630500
3377,2750000
540,200000
1000,1025000
2736,1530000
827,517000
875,630000
1210,690000
2850,3200000
1300,1950000
726,475000
1400,1500000
1150,1030000
2935,1480000
1260,527000
2396,1610000
1200,1603000
2559,1940000
1219,1225000
982,835500
1191,1403000
847,828000
1720,3750000
866,550000
1783,978000
1084,1300000
1499,980000
681,525000
432,580000
862,855000
2750,1650000
1225,905000
780,863000
2460,3000000
810,738500
1185,1500000
810,475000
700,1275000
1293,2000000
1228,810500
853,950000
1245,1550000
862,1100000
862,630000
850,660000
1012,1226000
1011,880000
2478,1275000
1504,1302500
1560,1615000
984,1005500
1674,730000
1594,770000
1258,1313000
1175,730000
1237,865000
1272,1375000
1335,1500000
1448,2260000
1929,1275000
2125,1575000
926,1015000
1900,1250000
1387,1450000
740,805000
877,1050000
664,1000000
1668,2300000
1175,1329000
3375,855000
1000,1260000
1240,895000
1344,1080000
1455,1125000
1806,1340000
1020,735000
767,575000
950,900000
1491,905000
1526,2130000
1450,1050000
1175,1325000
1825,1565000
2900,2250000
2309,1475000
1899,1780000
2062,975000
1726,560000
745,820000
1408,2150000
656,650000
2095,2100000
852,660000
1475,730000
1806,900000
825,952000
1435,985000
1975,1225000
1825,1408000
1879,230000
1430,776000
1245,2600000
1844,1612000
896,969000
875,990000
943,392500
2295,2305000
1176,980000
1218,1700000
1725,491000
1575,749000
700,702000
1980,1901500
962,788000
900,1200000
1376,2300000
1295,1560000
1673,2230000
3678,3300000
1002,1200000
1145,960000
1644,1150000
2420,3300000
1134,600000
1173,706000
775,656500
489,633000
1019,1986000
1286,1618000
840,750000
774,875000
1186,1000000
1244,1080000
1740,1225000
2208,2300500
3871,3300000
828,773500
707,800000
1725,936000
1295,1575000
807,825000
1744,1380000
1104,1525000
3040,1100000
2590,2950000
2817,4500000
1600,1020000
1375,1250000
759,739000
826,925000
1317,550000
1766,2050000
936,1100000
1862,2125000
850,2225000
2086,2600000
842,505000
1144,720000
823,800000
1170,1490000
780,875000
980,700000
1960,960000
946,1280000
1200,700000
1840,805000
1043,2050000
1510,2400500
1800,1890000
1377,1520000
1444,1665000
966,830000
800,650000
723,873000
475,562000
1296,1450000
1180,1027500
880,1065000
2250,2000000
1300,1225000
825,937000
1569,1480000
2290,3100000
1850,1510000
2104,1480000
1263,728000
593,635000
1088,1275000
1200,1650000
1305,1225000
2253,2625000
975,2300000
1895,4050000
1200,999000
2250,1720000
950,805000
1188,910000
1065,938000
901,283500
1138,885000
1440,1395000
1837,1750500
1972,2500000
1350,954000
995,925000
1720,1225000
1525,1325000
1575,1585000
1428,2025000
972,880000
1345,1027000
1391,987000
1386,3400000
1125,725000
1776,758000
756,885000
1750,972000
2139,3115000
1325,1075000
1400,554000
2276,1150000
716,710000
1287,905000
2556,2000000
2250,925000
650,800000
2030,600000
1420,655000
950,610000
997,1260000
1112,1300000
1108,750000
1462,950000
710,775000
1011,950000
1039,1125000
1130,1375000
1260,270000
1200,842000
1240,820000
1238,1745000
1003,735000
838,930000
980,1425000
1988,989000
960,1066000
1238,950000
3008,2600000
1960,1481500
2310,1695000
3992,3472000
1175,850000
1160,1075000
1426,1525000
650,600000
558,750000
1204,1251500
1190,886000
1712,1400000
767,850000
743,660000
506,590000
1379,1400000
1309,2050000
980,1005000
1287,1750000
823,823000
542,829000
1030,1225000
973,995000
3814,3703000
1088,860000
1482,865000
818,880000
1603,1430000
1080,1500000
954,1000000
1145,925000
1750,1403000
1840,1750000
936,830000
778,1150000
1214,969000
1483,1575000
1463,1410000
1769,2100000
780,758000
1548,815000
945,880000
912,1222000
1836,1555000
950,1200000
1400,1560000
1668,1050000
933,1155000
1960,2532000
1912,3025000
1938,1380000
638,525000
2346,1600000
1558,1042000
1035,1280000
1205,1150000
1200,1200000
2505,2300000
1802,1992000
1620,1550000
1250,550000
1242,1460000
1225,1785000
2155,3200000
1125,800000
1404,1482000
1562,2275000
990,760000
1745,1595000
579,550000
1096,750000
2079,2925000
1473,2125000
4153,6500000
953,899000
741,1230000
1375,2325000
1240,1120000
3436,1950000
2575,1259000
1250,1440000
